NOC,Year,Population
IRL,1952,2958000
IRL,1956,2958000
IRL,1960,2828600
IRL,1964,2866550
IRL,1968,2915550
IRL,1972,3036850
IRL,1976,3238050
IRL,1980,3412800
IRL,1984,3532423
IRL,1988,3524949
IRL,1992,3558430
IRL,1996,3637510
IRL,1998,3712696
IRL,2000,3805174
IRL,2002,3931947
IRL,2004,4070262
IRL,2006,4273591
IRL,2008,4489544
IRL,2010,4560155
IRL,2012,4599533
IRL,2014,4657740
IRL,2016,4755335
IRQ,1948,3605000
IRQ,1960,7289753
IRQ,1964,8122199
IRQ,1968,9260687
IRQ,1980,13653348
IRQ,1984,15190396
IRQ,1988,16612319
IRQ,1992,18402740
IRQ,1996,20783073
IRQ,2000,23497589
IRQ,2004,26313838
IRQ,2008,28385739
IRQ,2012,31890012
IRQ,2016,36610632
ISL,1908,71000
ISL,1912,78000
ISL,1936,98000
ISL,1948,109000
ISL,1952,121000
ISL,1956,121000
ISL,1960,175574
ISL,1964,188983
ISL,1968,201488
ISL,1972,209137
ISL,1976,220154
ISL,1980,228138
ISL,1984,239511
ISL,1988,249740
ISL,1992,261057
ISL,1994,266021
ISL,1996,268916
ISL,1998,274047
ISL,2000,281205
ISL,2002,287523
ISL,2004,292074
ISL,2006,303782
ISL,2008,317414
ISL,2010,318041
ISL,2012,320716
ISL,2014,327386
ISL,2016,335439
ISR,1952,889866
ISR,1956,889866
ISR,1960,2114020
ISR,1964,2475000
ISR,1968,2803000
ISR,1972,3148000
ISR,1976,3533000
ISR,1984,4159000
ISR,1988,4442000
ISR,1992,5123000
ISR,1994,5399000
ISR,1996,5692000
ISR,1998,5971000
ISR,2000,6289000
ISR,2002,6570000
ISR,2004,6809000
ISR,2006,7053700
ISR,2008,7308800
ISR,2010,7623600
ISR,2012,7910500
ISR,2014,8215700
ISR,2016,8546000
ISV,1968,
ISV,1972,
ISV,1976,
ISV,1984,
ISV,1988,
ISV,1992,
ISV,1994,
ISV,1996,
ISV,1998,
ISV,2000,
ISV,2002,
ISV,2004,
ISV,2008,
ISV,2012,
ISV,2014,
ISV,2016,
ITA,1896,31702000
ITA,1900,31702000
ITA,1904,31702000
ITA,1906,31702000
ITA,1908,31702000
ITA,1912,33672000
ITA,1920,36572000
ITA,1924,36572000
ITA,1928,36572000
ITA,1932,37398000
ITA,1936,37398000
ITA,1948,40791000
ITA,1952,44341000
ITA,1956,44341000
ITA,1960,50199700
ITA,1964,51675350
ITA,1968,53235750
ITA,1972,54381345
ITA,1976,55718260
ITA,1980,56433883
ITA,1984,56576718
ITA,1988,56629288
ITA,1992,56797087
ITA,1994,56843400
ITA,1996,56860281
ITA,1998,56906744
ITA,2000,56942108
ITA,2002,57059007
ITA,2004,57685327
ITA,2006,58143979
ITA,2008,58826731
ITA,2010,59277417
ITA,2012,59539717
ITA,2014,60789140
ITA,2016,60627498
IVB,1984,
IVB,1988,
IVB,1992,
IVB,1996,
IVB,2000,
IVB,2004,
IVB,2008,
IVB,2012,
IVB,2014,
IVB,2016,
JAM,1948,1009000
JAM,1952,1212000
JAM,1956,1212000
JAM,1964,1730739
JAM,1968,1825873
JAM,1972,1935089
JAM,1976,2055371
JAM,1980,2162839
JAM,1984,2306367
JAM,1988,2389415
JAM,1992,2461047
JAM,1994,2509042
JAM,1996,2558631
JAM,1998,2608874
JAM,2000,2654698
JAM,2002,2692843
JAM,2004,2725017
JAM,2008,2781869
JAM,2010,2810464
JAM,2012,2842128
JAM,2014,2875137
JAM,2016,2906242
JOR,1980,2377997
JOR,1984,2784457
JOR,1988,3256552
JOR,1992,3977667
JOR,1996,4732848
JOR,2000,5122495
JOR,2004,5580241
JOR,2008,6556473
JOR,2012,8089963
JOR,2016,9554286
JPN,1912,44103000
JPN,1920,49518000
JPN,1924,49518000
JPN,1928,49518000
JPN,1932,55818000
JPN,1936,55818000
JPN,1952,72967000
JPN,1956,72967000
JPN,1960,93216000
JPN,1964,96903000
JPN,1968,101011000
JPN,1972,107188000
JPN,1976,112775000
JPN,1980,116807000
JPN,1984,120083000
JPN,1988,122578000
JPN,1992,124425000
JPN,1994,125178000
JPN,1996,125757000
JPN,1998,126400000
JPN,2000,126843000
JPN,2002,127445000
JPN,2004,127761000
JPN,2006,127854000
JPN,2008,128063000
JPN,2010,128070000
JPN,2012,127629000
JPN,2014,127276000
JPN,2016,126994511
KAZ,1994,16145766
KAZ,1996,15578227
KAZ,1998,15071640
KAZ,2000,14883626
KAZ,2002,14858948
KAZ,2004,15012984
KAZ,2006,15308085
KAZ,2008,15776938
KAZ,2010,16321872
KAZ,2012,16792090
KAZ,2014,17288285
KAZ,2016,17794055
KEN,1956,5084069.237
KEN,1960,8120082
KEN,1964,9222692
KEN,1968,10539909
KEN,1972,12146070
KEN,1984,19146403
KEN,1988,22153685
KEN,1992,25326080
KEN,1996,28589456
KEN,1998,30250488
KEN,2000,31964557
KEN,2002,33751746
KEN,2004,35635267
KEN,2006,37649039
KEN,2008,39791984
KEN,2012,44343469
KEN,2016,49051531
KGZ,1994,4515100
KGZ,1996,4628400
KGZ,1998,4769000
KGZ,2000,4898400
KGZ,2002,4990700
KGZ,2004,5104700
KGZ,2006,5218400
KGZ,2008,5318700
KGZ,2010,5447900
KGZ,2012,5607200
KGZ,2014,5835500
KGZ,2016,6079500
KIR,2004,90498
KIR,2008,98760
KIR,2012,106359
KIR,2016,112529
KOR,1948,13900000
KOR,1952,15627000
KOR,1956,15627000
KOR,1960,25012374
KOR,1964,27984155
KOR,1968,30838302
KOR,1972,33505406
KOR,1976,35848523
KOR,1980,38123775
KOR,1984,40405956
KOR,1988,42031247
KOR,1992,43747962
KOR,1994,44641540
KOR,1996,45524681
KOR,1998,46286503
KOR,2000,47008111
KOR,2002,47644736
KOR,2004,48082519
KOR,2006,48438292
KOR,2008,49054708
KOR,2010,49554112
KOR,2012,50199853
KOR,2014,50746659
KOR,2016,51217803
KOS,2016,
KSA,1972,
KSA,1976,
KSA,1984,
KSA,1988,
KSA,1992,
KSA,1996,
KSA,2000,
KSA,2004,
KSA,2008,
KSA,2012,
KSA,2016,
KUW,1968,
KUW,1972,
KUW,1976,
KUW,1980,
KUW,1984,
KUW,1988,
KUW,1992,
KUW,1996,
KUW,2000,
KUW,2004,
KUW,2008,
KUW,2012,
LAO,1980,3258149
LAO,1988,4020817
LAO,1992,4500346
LAO,1996,4951189
LAO,2000,5323701
LAO,2004,5662199
LAO,2008,6046630
LAO,2012,6444527
LAO,2016,6845848
LAT,1924,
LAT,1928,
LAT,1932,
LAT,1936,
LAT,1992,
LAT,1994,
LAT,1996,
LAT,1998,
LAT,2000,
LAT,2002,
LAT,2004,
LAT,2006,
LAT,2008,
LAT,2010,
LAT,2012,
LAT,2014,
LAT,2016,
LBA,1968,
LBA,1980,
LBA,1988,
LBA,1992,
LBA,1996,
LBA,2000,
LBA,2004,
LBA,2008,
LBA,2012,
LBA,2016,
LBR,1956,689365.3203
LBR,1960,1118655
LBR,1964,1217905
LBR,1972,1474567
LBR,1984,2111667
LBR,1988,2134105
LBR,1996,2160480
LBR,2000,2848447
LBR,2004,3135654
LBR,2008,3607863
LBR,2012,4135662
LBR,2016,4586788
LCA,1996,148837
LCA,2000,156737
LCA,2004,161821
LCA,2008,170011
LCA,2012,176654
LCA,2016,180028
LES,1972,
LES,1980,
LES,1984,
LES,1988,
LES,1992,
LES,1996,
LES,2000,
LES,2004,
LES,2008,
LES,2012,
LES,2016,
LIB,1948,
LIB,1952,
LIB,1956,
LIB,1960,
LIB,1964,
LIB,1968,
LIB,1972,
LIB,1976,
LIB,1980,
LIB,1984,
LIB,1988,
LIB,1992,
LIB,1996,
LIB,2000,
LIB,2002,
LIB,2004,
LIB,2006,
LIB,2008,
LIB,2010,
LIB,2012,
LIB,2014,
LIB,2016,
LIE,1936,12000
LIE,1948,12000
LIE,1952,0
LIE,1956,0
LIE,1960,16501
LIE,1964,18170
LIE,1968,20237
LIE,1972,22161
LIE,1976,23933
LIE,1980,25881
LIE,1984,27028
LIE,1988,28135
LIE,1992,29552
LIE,1994,30415
LIE,1996,31354
LIE,1998,32306
LIE,2000,33184
LIE,2002,33885
LIE,2004,34444
LIE,2006,34975
LIE,2008,35469
LIE,2010,35996
LIE,2012,36615
LIE,2014,37219
LIE,2016,37655
LTU,1924,2916000
LTU,1928,2916000
LTU,1992,3700114
LTU,1994,3657144
LTU,1996,3601613
LTU,1998,3549331
LTU,2000,3499536
LTU,2002,3443067
LTU,2004,3377075
LTU,2006,3269909
LTU,2008,3198231
LTU,2010,3097282
LTU,2012,2987773
LTU,2014,2932367
LTU,2016,2868231
LUX,1900,211000
LUX,1912,236000
LUX,1920,260000
LUX,1924,260000
LUX,1928,260000
LUX,1932,269000
LUX,1936,269000
LUX,1948,300000
LUX,1952,301000
LUX,1956,301000
LUX,1960,313970
LUX,1964,327750
LUX,1968,335850
LUX,1972,346600
LUX,1976,360731
LUX,1980,364150
LUX,1984,365998
LUX,1988,373450
LUX,1992,392175
LUX,1994,402925
LUX,1996,414225
LUX,1998,424700
LUX,2000,436300
LUX,2004,458095
LUX,2006,472637
LUX,2008,488650
LUX,2012,530946
LUX,2014,556319
LUX,2016,582014
MAD,1964,
MAD,1968,
MAD,1972,
MAD,1980,
MAD,1984,
MAD,1992,
MAD,1996,
MAD,2000,
MAD,2004,
MAD,2006,
MAD,2008,
MAD,2012,
MAD,2016,
MAL,1956,
MAL,1960,
MAR,1960,12328532
MAR,1964,13857656
MAR,1968,15307267
MAR,1972,16696890
MAR,1976,18198836
MAR,1984,22002641
MAR,1988,23903592
MAR,1992,25711410
MAR,1996,27383472
MAR,2000,28793672
MAR,2004,30115196
MAR,2008,31536807
MAR,2010,32343384
MAR,2012,33241898
MAR,2014,34192358
MAR,2016,35126274
MAS,1964,
MAS,1968,
MAS,1972,
MAS,1976,
MAS,1984,
MAS,1988,
MAS,1992,
MAS,1996,
MAS,2000,
MAS,2004,
MAS,2008,
MAS,2012,
MAS,2016,
MAW,1972,
MAW,1984,
MAW,1988,
MAW,1992,
MAW,1996,
MAW,2000,
MAW,2004,
MAW,2008,
MAW,2012,
MAW,2016,
MDA,1994,2964277
MDA,1996,2946401
MDA,1998,2934339
MDA,2000,2923783
MDA,2002,2910504
MDA,2004,2895147
MDA,2006,2880095
MDA,2008,2867964
MDA,2010,2861487
MDA,2012,2859458
MDA,2014,2856950
MDA,2016,2802170
MDV,1988,209787
MDV,1992,236271
MDV,1996,259178
MDV,2000,279396
MDV,2004,311265
MDV,2008,343448
MDV,2012,397231
MDV,2016,475505
MEX,1900,11729000
MEX,1924,15000000
MEX,1928,15000000
MEX,1932,14900000
MEX,1936,14900000
MEX,1948,17175000
MEX,1952,20393000
MEX,1956,20393000
MEX,1960,37771861
MEX,1964,42771077
MEX,1968,48431971
MEX,1972,54689944
MEX,1976,61242189
MEX,1980,67761367
MEX,1984,74352631
MEX,1988,80788725
MEX,1992,87075136
MEX,1994,90156396
MEX,1996,93147045
MEX,2000,98899845
MEX,2002,101684764
MEX,2004,104514934
MEX,2008,110815272
MEX,2010,114092961
MEX,2012,117274156
MEX,2014,120355137
MEX,2016,123333379
MGL,1964,
MGL,1968,
MGL,1972,
MGL,1976,
MGL,1980,
MGL,1984,
MGL,1988,
MGL,1992,
MGL,1994,
MGL,1996,
MGL,1998,
MGL,2000,
MGL,2002,
MGL,2004,
MGL,2006,
MGL,2008,
MGL,2010,
MGL,2012,
MGL,2014,
MGL,2016,
MHL,2008,56166
MHL,2012,56712
MHL,2016,57723
MKD,1996,1989441
MKD,1998,2012052
MKD,2000,2034823
MKD,2002,2048930
MKD,2004,2057044
MKD,2006,2063132
MKD,2008,2067309
MKD,2010,2070737
MKD,2012,2074275
MKD,2014,2077780
MKD,2016,2080746
MLI,1964,5503750
MLI,1968,5780836
MLI,1972,6147464
MLI,1980,7090124
MLI,1984,7694857
MLI,1988,8171525
MLI,1992,8850334
MLI,1996,9837575
MLI,2000,10946448
MLI,2004,12369078
MLI,2008,14113578
MLI,2012,15979492
MLI,2016,17965448
MLT,1928,229000
MLT,1936,225000
MLT,1948,241000
MLT,1960,326550
MLT,1968,307900
MLT,1972,302450
MLT,1980,316645
MLT,1984,330593
MLT,1988,347325
MLT,1992,367618
MLT,1996,379905
MLT,2000,390087
MLT,2004,401268
MLT,2008,409379
MLT,2012,420028
MLT,2014,434558
MLT,2016,455356
MNE,2008,616969
MNE,2010,619428
MNE,2012,620601
MNE,2014,621810
MNE,2016,622303
MON,1920,
MON,1924,
MON,1928,
MON,1932,
MON,1936,
MON,1948,
MON,1952,
MON,1960,
MON,1964,
MON,1968,
MON,1972,
MON,1976,
MON,1984,
MON,1988,
MON,1992,
MON,1994,
MON,1996,
MON,1998,
MON,2000,
MON,2002,
MON,2004,
MON,2006,
MON,2008,
MON,2010,
MON,2012,
MON,2014,
MON,2016,
MOZ,1980,11630194
MOZ,1984,12636120
MOZ,1988,12758003
MOZ,1992,13805999
MOZ,1996,15960445
MOZ,2000,17711925
MOZ,2004,19910549
MOZ,2008,22276596
MOZ,2012,24862673
MOZ,2016,27829930
MRI,1984,
MRI,1988,
MRI,1992,
MRI,1996,
MRI,2000,
MRI,2004,
MRI,2008,
MRI,2012,
MRI,2016,
MTN,1984,
MTN,1988,
MTN,1992,
MTN,1996,
MTN,2000,
MTN,2004,
MTN,2008,
MTN,2012,
MTN,2016,
MYA,1948,
MYA,1952,
MYA,1956,
MYA,1960,
MYA,1964,
MYA,1968,
MYA,1972,
MYA,1980,
MYA,1984,
MYA,1988,
MYA,1992,
MYA,1996,
MYA,2000,
MYA,2004,
MYA,2008,
MYA,2012,
MYA,2016,
NAM,1992,1516951
NAM,1996,1663378
NAM,2000,1794583
NAM,2004,1907737
NAM,2008,2043382
NAM,2012,2194777
NAM,2016,2358044
NBO,1956,
NCA,1968,
NCA,1972,
NCA,1976,
NCA,1980,
NCA,1984,
NCA,1992,
NCA,1996,
NCA,2000,
NCA,2004,
NCA,2008,
NCA,2012,
NCA,2016,
NED,1900,
NED,1906,
NED,1908,
NED,1912,
NED,1920,
NED,1924,
NED,1928,
NED,1932,
NED,1936,
NED,1948,
NED,1952,
NED,1956,
NED,1960,
NED,1964,
NED,1968,
NED,1972,
NED,1976,
NED,1980,
NED,1984,
NED,1988,
NED,1992,
NED,1994,
NED,1996,
NED,1998,
NED,2000,
NED,2002,
NED,2004,
NED,2006,
NED,2008,
NED,2010,
NED,2012,
NED,2014,
NED,2016,
NEP,1924,
NEP,1964,
NEP,1972,
NEP,1976,
NEP,1980,
NEP,1984,
NEP,1988,
NEP,1992,
NEP,1996,
NEP,2000,
NEP,2002,
NEP,2004,
NEP,2006,
NEP,2008,
NEP,2010,
NEP,2012,
NEP,2014,
NEP,2016,
NFL,1904,
NGR,1952,
NGR,1956,
NGR,1960,
NGR,1964,
NGR,1968,
NGR,1972,
NGR,1980,
NGR,1984,
NGR,1988,
NGR,1992,
NGR,1996,
NGR,2000,
NGR,2004,
NGR,2008,
NGR,2012,
NGR,2016,
NIG,1964,
NIG,1968,
NIG,1972,
NIG,1984,
NIG,1988,
NIG,1992,
NIG,1996,
NIG,2000,
NIG,2004,
NIG,2008,
NIG,2012,
NIG,2016,
NOR,1900,1997000
NOR,1904,1997000
NOR,1906,1997000
NOR,1908,1997000
NOR,1912,2230000
NOR,1920,2384000
NOR,1924,2384000
NOR,1928,2384000
NOR,1932,2635000
NOR,1936,2635000
NOR,1948,2807000
NOR,1952,2973000
NOR,1956,2973000
NOR,1960,3581239
NOR,1964,3694339
NOR,1968,3816486
NOR,1972,3933004
NOR,1976,4026152
NOR,1980,4085620
NOR,1984,4140099
NOR,1988,4209488
NOR,1992,4286401
NOR,1994,4336613
NOR,1996,4381336
NOR,1998,4431464
NOR,2000,4490967
NOR,2002,4538159
NOR,2004,4591910
NOR,2006,4660677
NOR,2008,4768212
NOR,2010,4889252
NOR,2012,5018573
NOR,2014,5137232
NOR,2016,5234519
NRU,1996,10677
NRU,2000,10335
NRU,2004,9906
NRU,2008,9880
NRU,2012,10136
NRU,2016,10474
NZL,1900,665000
NZL,1920,1045000
NZL,1924,1045000
NZL,1928,1045000
NZL,1932,1241000
NZL,1936,1241000
NZL,1948,1493000
NZL,1952,1636000
NZL,1956,1636000
NZL,1960,2371800
NZL,1964,2585400
NZL,1968,2748100
NZL,1972,2903900
NZL,1976,3110500
NZL,1980,3112900
NZL,1984,3227100
NZL,1988,3283400
NZL,1992,3531700
NZL,1994,3620000
NZL,1996,3732000
NZL,1998,3815000
NZL,2000,3857700
NZL,2002,3948500
NZL,2004,4087500
NZL,2006,4184600
NZL,2008,4259800
NZL,2010,4350700
NZL,2012,4408100
NZL,2014,4516500
NZL,2016,4714100
OMA,1984,
OMA,1988,
OMA,1992,
OMA,1996,
OMA,2000,
OMA,2004,
OMA,2008,
OMA,2012,
OMA,2016,
PAK,1948,0
PAK,1952,0
PAK,1956,0
PAK,1960,44988690
PAK,1964,49627623
PAK,1968,55102690
PAK,1972,61381982
PAK,1976,68834324
PAK,1984,89213708
PAK,1988,101389603
PAK,1992,113911126
PAK,1996,127349293
PAK,2000,142343583
PAK,2004,156664698
PAK,2008,171648984
PAK,2010,179424643
PAK,2012,187280125
PAK,2014,195305012
PAK,2016,203631356
PAN,1928,326000
PAN,1948,515000
PAN,1952,697000
PAN,1960,1133005
PAN,1964,1276331
PAN,1968,1434676
PAN,1972,1607797
PAN,1976,1791389
PAN,1984,2170330
PAN,1988,2368556
PAN,1992,2575949
PAN,1996,2796291
PAN,2000,3030333
PAN,2004,3269356
PAN,2008,3516204
PAN,2012,3770635
PAN,2016,4037073
PAR,1968,
PAR,1972,
PAR,1976,
PAR,1984,
PAR,1988,
PAR,1992,
PAR,1996,
PAR,2000,
PAR,2004,
PAR,2008,
PAR,2012,
PAR,2014,
PAR,2016,
PER,1900,3346000
PER,1932,4690000
PER,1936,4690000
PER,1948,5480000
PER,1956,6440000
PER,1960,10155011
PER,1964,11383364
PER,1968,12735491
PER,1972,14221954
PER,1976,15838568
PER,1980,17547612
PER,1984,19319746
PER,1988,21153462
PER,1992,22966822
PER,1996,24753825
PER,2000,26459944
PER,2004,27624226
PER,2008,28562321
PER,2010,29027680
PER,2012,29506790
PER,2014,30090372
PER,2016,30926036
PHI,1924,
PHI,1928,
PHI,1932,
PHI,1936,
PHI,1948,
PHI,1952,
PHI,1956,
PHI,1960,
PHI,1964,
PHI,1968,
PHI,1972,
PHI,1976,
PHI,1984,
PHI,1988,
PHI,1992,
PHI,1996,
PHI,2000,
PHI,2004,
PHI,2008,
PHI,2012,
PHI,2014,
PHI,2016,
PLE,1996,
PLE,2000,
PLE,2004,
PLE,2008,
PLE,2012,
PLE,2016,
PLW,2000,19104
PLW,2004,19861
PLW,2008,18708
PLW,2012,17635
PLW,2016,17718
PNG,1976,3219825
PNG,1984,3975950
PNG,1988,4399320
PNG,1992,4836216
PNG,1996,5314258
PNG,2000,5847590
PNG,2004,6354247
PNG,2008,6976200
PNG,2012,7631003
PNG,2016,8271766
POL,1912,24750000
POL,1924,26644000
POL,1928,26644000
POL,1932,23968000
POL,1936,23968000
POL,1948,28204000
POL,1952,30021000
POL,1956,30021000
POL,1960,29637450
POL,1964,31139450
POL,1968,32294655
POL,1972,33055650
POL,1976,34356300
POL,1980,35574150
POL,1984,36904134
POL,1988,37824487
POL,1992,38363667
POL,1994,38542652
POL,1996,38624370
POL,1998,38663481
POL,2000,38258629
POL,2002,38230364
POL,2004,38182222
POL,2006,38141267
POL,2008,38125759
POL,2010,38042794
POL,2012,38063164
POL,2014,38011735
POL,2016,37970087
POR,1912,
POR,1920,
POR,1924,
POR,1928,
POR,1932,
POR,1936,
POR,1948,
POR,1952,
POR,1956,
POR,1960,
POR,1964,
POR,1968,
POR,1972,
POR,1976,
POR,1980,
POR,1984,
POR,1988,
POR,1992,
POR,1994,
POR,1996,
POR,1998,
POR,2000,
POR,2004,
POR,2006,
POR,2008,
POR,2010,
POR,2012,
POR,2014,
POR,2016,
PRK,1964,12282417
PRK,1972,15207765
PRK,1976,16554744
PRK,1980,17472144
PRK,1984,18590142
PRK,1988,19708316
PRK,1992,20937407
PRK,1996,22113428
PRK,1998,22536754
PRK,2000,22929078
PRK,2004,23732740
PRK,2006,24054866
PRK,2008,24310143
PRK,2010,24548840
PRK,2012,24800638
PRK,2016,25307665
PUR,1948,
PUR,1952,
PUR,1956,
PUR,1960,
PUR,1964,
PUR,1968,
PUR,1972,
PUR,1976,
PUR,1980,
PUR,1984,
PUR,1988,
PUR,1992,
PUR,1994,
PUR,1996,
PUR,1998,
PUR,2000,
PUR,2004,
PUR,2008,
PUR,2012,
PUR,2016,
QAT,1984,341272
QAT,1988,443611
QAT,1992,495403
QAT,1996,522531
QAT,2000,592467
QAT,2004,753332
QAT,2008,1436670
QAT,2012,2196078
QAT,2016,2654379
RHO,1960,
ROT,2016,
ROU,1900,10373000
ROU,1924,11866000
ROU,1928,11866000
ROU,1932,12340000
ROU,1936,12340000
ROU,1948,14141000
ROU,1952,15907000
ROU,1956,15907000
ROU,1960,18406905
ROU,1964,18919126
ROU,1968,19799831
ROU,1972,20657957
ROU,1976,21551634
ROU,1980,22207282
ROU,1984,22640547
ROU,1988,23057662
ROU,1992,22794284
ROU,1994,22730211
ROU,1996,22619004
ROU,1998,22507344
ROU,2000,22442971
ROU,2002,21730496
ROU,2004,21451748
ROU,2006,21193760
ROU,2008,20537875
ROU,2010,20246871
ROU,2012,20058035
ROU,2014,19908979
ROU,2016,19702267
RSA,1904,
RSA,1908,
RSA,1912,
RSA,1920,
RSA,1924,
RSA,1928,
RSA,1932,
RSA,1936,
RSA,1948,
RSA,1952,
RSA,1956,
RSA,1960,
RSA,1992,
RSA,1994,
RSA,1996,
RSA,1998,
RSA,2000,
RSA,2002,
RSA,2004,
RSA,2006,
RSA,2008,
RSA,2010,
RSA,2012,
RSA,2016,
RUS,1900,0
RUS,1908,0
RUS,1912,0
RUS,1924,0
RUS,1994,148407912
RUS,1996,148160129
RUS,1998,147670784
RUS,2000,146596869
RUS,2002,145306497
RUS,2004,144067316
RUS,2006,143049637
RUS,2008,142742366
RUS,2010,142849468
RUS,2012,143201721
RUS,2014,143819667
RUS,2016,144342397
RWA,1984,5902847
RWA,1988,7088194
RWA,1992,6702239
RWA,1996,6013112
RWA,2000,7933688
RWA,2004,8680516
RWA,2008,9524532
RWA,2012,10549668
RWA,2016,11668829
SAA,1952,
SAM,1984,
SAM,1988,
SAM,1992,
SAM,1996,
SAM,2000,
SAM,2004,
SAM,2008,
SAM,2012,
SAM,2016,
SCG,1996,
SCG,1998,
SCG,2000,
SCG,2002,
SCG,2004,
SCG,2006,
SEN,1964,3580241
SEN,1968,4014107
SEN,1972,4522886
SEN,1976,5057375
SEN,1980,5583157
SEN,1984,6277420
SEN,1988,7086624
SEN,1992,7990090
SEN,1994,8461066
SEN,1996,8912872
SEN,2000,9797731
SEN,2004,10810086
SEN,2006,11382272
SEN,2008,12004700
SEN,2010,12678143
SEN,2012,13401990
SEN,2016,14993514
SEY,1980,
SEY,1984,
SEY,1992,
SEY,1996,
SEY,2000,
SEY,2004,
SEY,2008,
SEY,2012,
SEY,2016,
SGP,1948,596000
SGP,1952,751000
SGP,1956,751000
SGP,1960,1646400
SGP,1968,2012000
SGP,1972,2152400
SGP,1976,2293300
SGP,1984,2732221
SGP,1988,2846108
SGP,1992,3230698
SGP,1996,3670704
SGP,2000,4027887
SGP,2004,4166664
SGP,2008,4839396
SGP,2012,5312437
SGP,2016,5607283
SKN,1996,
SKN,2000,
SKN,2004,
SKN,2008,
SKN,2012,
SKN,2016,
SLE,1968,2644011
SLE,1980,3388494
SLE,1984,3707513
SLE,1988,4156636
SLE,1992,4347727
SLE,1996,4312660
SLE,2000,4584570
SLE,2004,5433995
SLE,2008,6133599
SLE,2012,6712586
SLE,2016,7328846
SLO,1992,
SLO,1994,
SLO,1996,
SLO,1998,
SLO,2000,
SLO,2002,
SLO,2004,
SLO,2006,
SLO,2008,
SLO,2010,
SLO,2012,
SLO,2014,
SLO,2016,
SMR,1960,15440
SMR,1968,18668
SMR,1972,19490
SMR,1976,20086
SMR,1980,21453
SMR,1984,22546
SMR,1988,23548
SMR,1992,24830
SMR,1994,25588
SMR,1996,26253
SMR,2000,27460
SMR,2002,28175
SMR,2004,28942
SMR,2006,29694
SMR,2008,30434
SMR,2010,31221
SMR,2012,32103
SMR,2014,32941
SMR,2016,33503
SOL,1984,
SOL,1988,
SOL,1992,
SOL,1996,
SOL,2000,
SOL,2004,
SOL,2008,
SOL,2012,
SOL,2016,
SOM,1972,3479792
SOM,1984,6614713
SOM,1988,7005226
SOM,1996,7682683
SOM,2000,8872250
SOM,2004,10130251
SOM,2008,11397188
SOM,2012,12715487
SOM,2016,14185635
SRB,1912,2494000
SRB,2008,7350222
SRB,2010,7291436
SRB,2012,7199077
SRB,2014,7130576
SRB,2016,7058322
SRI,1948,
SRI,1952,
SRI,1956,
SRI,1960,
SRI,1964,
SRI,1968,
SRI,1972,
SRI,1980,
SRI,1984,
SRI,1988,
SRI,1992,
SRI,1996,
SRI,2000,
SRI,2004,
SRI,2008,
SRI,2012,
SRI,2016,
SSD,2016,10832520
STP,1996,133799
STP,2000,142264
STP,2004,153736
STP,2008,171122
STP,2012,188394
STP,2016,203221
SUD,1960,
SUD,1968,
SUD,1972,
SUD,1984,
SUD,1988,
SUD,1992,
SUD,1996,
SUD,2000,
SUD,2004,
SUD,2008,
SUD,2012,
SUD,2016,
SUI,1896,
SUI,1900,
SUI,1904,
SUI,1906,
SUI,1908,
SUI,1912,
SUI,1920,
SUI,1924,
SUI,1928,
SUI,1932,
SUI,1936,
SUI,1948,
SUI,1952,
SUI,1956,
SUI,1960,
SUI,1964,
SUI,1968,
SUI,1972,
SUI,1976,
SUI,1980,
SUI,1984,
SUI,1988,
SUI,1992,
SUI,1994,
SUI,1996,
SUI,1998,
SUI,2000,
SUI,2002,
SUI,2004,
SUI,2006,
SUI,2008,
SUI,2010,
SUI,2012,
SUI,2014,
SUI,2016,
SUR,1968,356551
SUR,1972,367907
SUR,1976,357949
SUR,1984,364722
SUR,1988,388877
SUR,1992,420658
SUR,1996,448207
SUR,2000,470944
SUR,2004,493680
SUR,2008,517122
SUR,2012,541247
SUR,2016,564883
SVK,1994,5346331
SVK,1996,5373361
SVK,1998,5390516
SVK,2000,5388720
SVK,2002,5376912
SVK,2004,5372280
SVK,2006,5373054
SVK,2008,5379233
SVK,2010,5391428
SVK,2012,5407579
SVK,2014,5418649
SVK,2016,5430798
SWE,1896,4780000
SWE,1900,4780000
SWE,1906,4780000
SWE,1908,4780000
SWE,1912,5117000
SWE,1920,5449000
SWE,1924,5449000
SWE,1928,5449000
SWE,1932,5876000
SWE,1936,5876000
SWE,1948,6131000
SWE,1952,6356000
SWE,1956,6356000
SWE,1960,7484656
SWE,1964,7661354
SWE,1968,7912273
SWE,1972,8122300
SWE,1976,8222286
SWE,1980,8310531
SWE,1984,8336605
SWE,1988,8436489
SWE,1992,8668067
SWE,1994,8780745
SWE,1996,8840998
SWE,1998,8850974
SWE,2000,8872109
SWE,2002,8924958
SWE,2004,8993531
SWE,2006,9080505
SWE,2008,9219637
SWE,2010,9378126
SWE,2012,9519374
SWE,2014,9696110
SWE,2016,9923085
SWZ,1972,457039
SWZ,1984,675240
SWZ,1988,773774
SWZ,1992,866995
SWZ,1996,945506
SWZ,2000,1005432
SWZ,2004,1026287
SWZ,2008,1049948
SWZ,2012,1079285
SWZ,2016,1113994
SYR,1948,0
SYR,1968,5935850
SYR,1972,6800148
SYR,1980,8930776
SYR,1984,10293048
SYR,1988,11719064
SYR,1992,13187669
SYR,1996,14754148
SYR,2000,16410847
